fan,view,video,isOffice
59600,3990843,429,0
59600,3626877,360,0
59500,6021741,500,1
59500,3378115,435,1
59400,8453098,116,1
59400,5324700,38,0
59400,3306795,635,1
59300,80267221,772,0
59300,26771413,1487,0
59300,3695377,754,0
59300,2004591,131,0
59200,4408565,734,0
58800,24821415,634,0
58800,2055116,145,1
58400,4513508,316,1
58300,2478361,448,0
58200,26726622,306,1
58100,21687551,126,1
58100,5176848,119,1
58000,1990216,252,0
57800,3516634,561,0
57500,4940268,264,0
57400,2290946,439,0
57300,8281251,583,1
57300,2850144,161,1
56900,8413335,667,1
56800,3060496,49,0
56500,13357553,591,0
56500,1725745,110,0
56300,2725557,217,1
56200,5789103,50,1
56100,2074060,38,0
56000,16219458,298,0
56000,3552894,859,0
56000,3320186,92,0
56000,2798813,615,0
55900,16227118,144,0
55900,2705196,596,0
55900,2365231,60,1
55900,1791827,100,0
55800,4303366,326,0
55800,3041974,159,0
55700,23057074,260,0
55700,1821316,26,0
55600,1621324,263,1
55500,3036897,619,1
55400,5423445,951,0
55400,2950687,361,0
55300,42511709,375,0
55300,3261691,87,0
55300,2668968,130,0
55300,469072,183,0
55000,2900309,390,1
54900,19658,28,0
54800,1808223,564,0
54600,1655034,6,1
54600,1611015,414,1
54400,1365841,58,0
54300,35013046,2546,0
54200,22830719,527,0
54200,2861653,149,1
54000,5322542,94,0
53800,2030836,433,1
53800,1457362,158,0
53800,1352192,147,1
53700,1753562,744,1
53700,1710268,185,0
53500,2668000,766,1
53000,5638370,674,1
53000,3326969,380,1
52900,4164821,458,0
52900,1400377,52,0
52800,3885222,788,1
52800,861010,106,0
52700,15702834,1752,0
52500,2126948,67,1
52400,2797173,393,0
52300,79656284,2860,0
52300,44996349,1080,0
52100,6241589,14,0
51900,10778572,354,0
51900,5973189,488,0
51800,41593513,1851,0
51800,5064389,441,0
51700,20256738,604,0
51500,11823589,483,0
51500,4891351,82,1
51300,1829971,675,1
51200,1626533,33,0
51200,934036,141,0
51100,3001637,304,0
51100,2200443,695,1
51000,2064828,34,0
50900,2799091,23,0
50700,5786103,103,0
50700,4775885,181,0
50600,8045610,1469,0
50600,3748412,281,1
50400,12581588,307,0
50400,579605,85,0
50300,948105,413,1
50000,1512454,268,0
49800,9736,4,0
49600,27945482,2365,0
49600,3620624,700,1
49500,2144502,92,0
49300,1538695,41,0
49100,3753743,62,0
49000,2262225,526,0
48800,1121398,2,1
48800,639884,7,1
48600,1631880,183,0
48500,15973912,157,0
48500,1319785,290,1
48400,1125400,4,1
48300,1887904,401,1
48300,1652992,587,1
48200,4979850,155,1
47900,5929476,324,0
47900,2902711,714,0
47900,2308362,488,1
47800,3985477,151,0
47800,3249480,491,1
47700,1197243,75,1
47700,1157325,13,1
47600,4499348,319,0
47500,448588,49,1
47200,7295197,154,1
47200,3281594,26,0
47200,1576633,214,0
47100,3750645,466,0
47100,514804,126,1
47000,2565159,714,1
46800,6023438,272,1
46800,3811751,87,0
46700,2627440,809,1
46500,2099809,451,0
46400,6126249,325,1
46400,4531423,346,0
46400,3097790,18,0
46300,34058674,2365,0
46200,707084,43,0
46100,1546791,200,0
46100,1441167,17,0
45800,19649348,1791,0
45800,17186133,1239,0
45800,2770628,610,0
45800,1512814,269,0
45700,14657200,398,0
45700,12771910,175,0
45600,12089591,2122,0
45600,2156200,1550,0
45500,3327968,651,1
45400,13137214,44,0
45400,6129286,26,0
45400,5077251,23,0
45400,1989306,367,0
45400,1581635,408,1
45400,80383,6,0
45300,3683344,51,1
45300,2442721,244,0
45300,1868863,564,0
45100,36163861,406,0
45100,7677295,32,0
45000,11472414,241,0
44800,8011641,361,0
44800,3458374,596,0
44800,2445739,151,0
44800,1792964,737,1
44800,1103965,84,1
44700,900116,409,0
44500,2414184,25,0
44500,2301692,543,0
44500,2209297,149,0
44400,4500803,251,1
44300,2548355,165,1
44200,1519204,95,0
44100,4260907,1667,1
44100,1880607,151,1
43900,4679881,248,0
43700,3133740,81,0
43700,2488676,13,0
43600,1001586,150,1
43500,9066705,1310,0
43500,6173417,185,0
43500,5464153,355,0
43400,10371518,1438,0
43300,6879720,138,0
43300,4372623,639,1
43300,1550807,60,1
43100,100811178,1694,0
43100,1746353,185,0
43100,1622004,740,1
43000,2900987,306,0
42900,3762102,1003,0
42800,1830288,8,1
42700,781402,189,0
42500,1701833,77,0
42500,822555,96,0
42500,769975,104,0
42400,5803341,73,0
42300,3049817,181,0
42300,983394,286,0
42200,5660639,415,0
42200,5430068,146,0
42200,3629673,478,0
42100,2703775,100,1
42000,2728590,331,1
42000,493647,790,0
41900,1876712,189,0
41900,348901,2,0
41700,11741901,162,0
41700,5222149,303,0
41700,3699124,1893,0
41700,2085224,671,0
41600,1811534,55,0
41500,6243690,162,0
41500,6169430,45,0
41500,3913284,147,1
41500,3144890,78,0
41500,2491684,769,0
41400,4038491,904,1
41400,1569231,17,0
41300,14772822,994,0
41300,510980,52,0
41200,11804253,1108,0
41100,2691399,890,1
41100,1437670,541,1
41100,1064696,104,0
41100,1042968,456,0
41000,1925622,422,1
41000,1595650,655,1
40800,19784612,384,0
40700,29003429,1602,0
40600,5930166,1974,1
40600,3688923,48,1
40600,1170337,97,0
40400,29587799,854,0
40400,3741942,53,0
40300,4454394,366,0
40300,2414337,129,0
40300,1867996,434,0
40200,10864380,150,0
40200,1822006,218,1
40200,1447430,60,1
40100,25841392,1166,0
40100,22312144,1104,0
40100,1405342,24,0
40100,215646,25,0
40000,6288595,247,0
40000,4608904,520,1
40000,3341702,420,1
